Date,start_lat,start_lon,end_lat,end_lon
2016-01-08 00:12:00,34.0420609,-118.26338,34.0441589,-118.25158
2016-01-08 00:18:00,34.0456085,-118.23703,34.0460701,-118.23308999999999
2016-01-08 00:23:00,34.0491982,-118.25283,34.0468102,-118.25698
2016-01-08 00:42:00,34.0583191,-118.24609,34.0583191,-118.24609
2016-01-08 00:51:00,34.0460701,-118.23308999999999,34.046611799999994,-118.26273
2016-01-08 00:54:00,34.0456085,-118.23703,34.0420609,-118.26338
2016-01-08 01:08:00,34.0420609,-118.26338,34.0441704,-118.26116999999999
2016-01-08 01:11:00,34.0441589,-118.25158,34.0485497,-118.25905
2016-01-08 01:31:00,34.053199799999994,-118.25095,34.053199799999994,-118.25095
2016-01-08 01:33:00,34.0441704,-118.26116999999999,34.0399818,-118.2664
2016-01-08 01:34:00,34.0642815,-118.23893999999999,34.0605583,-118.23833
2016-01-08 01:43:00,34.0456085,-118.23703,34.0456085,-118.23703
2016-01-08 02:45:00,34.0642815,-118.23893999999999,34.0642815,-118.23893999999999
2016-01-08 03:00:00,34.0460701,-118.23308999999999,34.047748600000006,-118.24316999999999
2016-01-08 03:11:00,34.0485497,-118.25905,34.0441589,-118.25158
2016-01-08 03:13:00,34.0485497,-118.25905,34.0447006,-118.25243999999999
2016-01-08 05:11:00,34.0566101,-118.23721,34.0528984,-118.24156
2016-01-08 05:28:00,34.0493011,-118.23881000000002,34.048851,-118.24642
2016-01-08 05:37:00,34.051101700000004,-118.26456,34.0485497,-118.25905
2016-01-08 05:57:00,34.0633888,-118.23616000000001,34.057720200000006,-118.24897
2016-01-08 06:00:00,34.03987120000001,-118.25003999999998,34.0504799,-118.25459
2016-01-08 06:08:00,34.0633888,-118.23616000000001,34.0484009,-118.26095
2016-01-08 06:19:00,34.0421104,-118.25618999999999,34.0566101,-118.23721
2016-01-08 06:19:00,34.0566101,-118.23721,34.0519409,-118.24353
2016-01-08 06:42:00,34.045539899999994,-118.25667,34.0386086,-118.26086000000001
2016-01-08 06:49:00,34.0421104,-118.25618999999999,34.03746029999999,-118.26538000000001
2016-01-08 06:49:00,34.051101700000004,-118.26456,34.0498886,-118.25588
2016-01-08 06:50:00,34.0447006,-118.25243999999999,34.0441704,-118.26116999999999
2016-01-08 06:50:00,34.03746029999999,-118.26538000000001,34.0392189,-118.23648999999999
2016-01-08 06:52:00,34.0504799,-118.25459,34.03987120000001,-118.25003999999998
2016-01-08 06:53:00,34.051101700000004,-118.26456,34.046611799999994,-118.26273
2016-01-08 06:56:00,34.046611799999994,-118.26273,34.0498886,-118.25588
2016-01-08 06:57:00,34.0416908,-118.23535,34.0566101,-118.23721
2016-01-08 07:05:00,34.0493011,-118.23881000000002,34.056968700000006,-118.25358999999999
2016-01-08 07:11:00,34.048851,-118.24642,34.0493011,-118.23881000000002
2016-01-08 07:15:00,34.045539899999994,-118.25667,34.0399818,-118.2664
2016-01-08 07:23:00,34.0399818,-118.2664,34.0386086,-118.26086000000001
2016-01-08 07:25:00,34.0441704,-118.26116999999999,34.0421104,-118.25618999999999
2016-01-08 07:25:00,34.0421104,-118.25618999999999,34.0399818,-118.2664
2016-01-08 07:26:00,34.0460701,-118.23308999999999,34.03918839999999,-118.23253000000001
2016-01-08 07:26:00,34.0633888,-118.23616000000001,34.0386086,-118.26086000000001
2016-01-08 07:30:00,34.0501404,-118.23324,34.0519409,-118.24353
2016-01-08 07:32:00,34.0633888,-118.23616000000001,34.0499802,-118.24716000000001
2016-01-08 07:35:00,34.0441704,-118.26116999999999,34.0447006,-118.25243999999999
2016-01-08 07:37:00,34.0421104,-118.25618999999999,34.0416908,-118.23535
2016-01-08 07:39:00,34.0399818,-118.2664,34.03746029999999,-118.26538000000001
2016-01-08 07:42:00,34.045181299999996,-118.25023999999999,34.03918839999999,-118.23253000000001
